,Lp.,Przystanek
287,BLIZNE JASIŃSKIEGO 01  ,NIE
288,BLIZNE JASIŃSKIEGO 02  ,NIE
289,BOBROWIEC 01,NIE
290,BOBROWIECKA 01,NIE
291,BOBROWIECKA 01  ,NIE
292,BOBROWIECKA 02,NIE
293,BOBROWIECKA 02  ,NIE
294,BODYCHA 02  ,NIE
295,BODYCHA 04  ,NIE
296,BOERNEROWO 01  ,NIE
297,BOERNEROWO 02  ,NIE
298,BOGATKI 01  ,NIE
299,BOGATKI 02  ,NIE
300,BOGUSŁAWSKIEGO 01  ,NIE
301,BOGUSŁAWSKIEGO 02  ,NIE
302,BOGUSŁAWSKIEGO 03  ,NIE
303,BOGUSŁAWSKIEGO 04  ,NIE
304,BOGUSŁAWSKIEGO 05  ,NIE
305,BOGUSŁAWSKIEGO 06  ,NIE
306,BOGUSŁAWSKIEGO 08  ,NIE
307,BOHATERÓW WARSZAWY 01  ,NIE
308,BOHATERÓW WARSZAWY 02  ,NIE
309,BOHOMOLCA 01  ,NIE
310,BOHOMOLCA 02  ,NIE
311,BOHUSZEWICZÓWNY 01  ,NIE
312,BOHUSZEWICZÓWNY 02  ,NIE
313,BOKSERSKA 01  ,NIE
314,BOKSERSKA 03  ,NIE
315,BOKSERSKA 04  ,NIE
316,BOKSERSKA 05  ,NIE
317,BOKSERSKA 07  ,NIE
318,BOKSERSKA 09  ,NIE
319,BOLESŁAWA KRZYWOUSTEGO 02  ,NIE
320,BOLESŁAWA ©MIAŁEGO 02  ,NIE
321,BOLESŁAWICKA 01  ,NIE
322,BOLESŁAWICKA 02  ,NIE
323,BONIFRATERSKA 01  ,NIE
324,BONY 01  ,NIE
325,BONY 02,NIE
326,BORA-KOMOROWSKIEGO 01  ,NIE
327,BORA-KOMOROWSKIEGO 02  ,NIE
328,BORA-KOMOROWSKIEGO 03  ,NIE
329,BORA-KOMOROWSKIEGO 04  ,NIE
330,BORKI 01  ,NIE
331,BORKÓW 01  ,NIE
332,BORKÓW 02  ,NIE
333,BOROWA 01  ,NIE
334,BOROWA 02  ,NIE
335,BOROWIECKA 01  ,NIE
336,BOROWIECKA 02  ,NIE
337,BORÓWKOWA 01  ,NIE
338,BORÓWKOWA 02  ,NIE
339,BORYNY 01  ,NIE
340,BORYNY 02  ,NIE
341,BORYSZEW 01  ,NIE
342,BORYSZEW 02  ,NIE
343,BORYSZEWSKA 01  ,NIE
344,BORYSZEWSKA 02  ,NIE
345,BORZĘCIN DUŻY 01  ,NIE
346,BORZĘCIN DUŻY 02  ,NIE
347,BORZĘCIN DUŻY 03  ,NIE
348,BORZĘCIN DUŻY-SZKOŁA 01  ,NIE
349,BORZĘCIN DUŻY-SZKOŁA 02  ,NIE
350,BORZĘCIN DUŻY-WIE© 01  ,NIE
351,BORZĘCIN DUŻY-WIE© 02  ,NIE
352,BŁOTA 01  ,NIE
353,BŁOTA 02  ,NIE
354,BŁOTA 03  ,NIE
355,BRACI WAGÓW 01  ,NIE
356,BRACI WAGÓW 02  ,NIE
357,BRATA ALBERTA 01  ,NIE
358,BRATA ALBERTA 02  ,NIE
359,BRATA ALBERTA 03  ,NIE
360,BRATA ALBERTA 04  ,NIE
361,BRAZYLIJSKA 01  ,NIE
362,BRAZYLIJSKA 02  ,NIE
363,BRÓDNO-PODGRODZIE 03  ,NIE
364,BRÓDNO-PODGRODZIE 04  ,NIE
365,BRÓDNO-PODGRODZIE 05  ,NIE
366,BRÓDNO-PODGRODZIE 06  ,NIE
367,BRÓDNO-PODGRODZIE 07  ,NIE
368,BRÓDNO-PODGRODZIE 08  ,NIE
369,BRÓDNOWSKA 01  ,NIE
370,BRÓDNOWSKA 02  ,NIE
371,BRÓDNOWSKA 03  ,NIE
372,BRÓDNOWSKA 04  ,NIE
373,BROŻKA 01  ,NIE
374,BROŻKA 02  ,NIE
375,BRONISŁAWA CZECHA-LAS 01  ,NIE
376,BRONISŁAWA CZECHA-LAS 02  ,NIE
377,BRONISZE 01  ,NIE
378,BRONISZE 02  ,NIE
379,BRONOWSKA 01  ,NIE
380,BRONOWSKA 02  ,NIE
381,BRONOWSKA 04  ,NIE
382,BRUSZEWSKA 01  ,NIE
383,BRUSZEWSKA 02  ,NIE
384,BRYLOWSKA 01  ,NIE
385,BRYLOWSKA 02  ,NIE
386,BRZEZINY 01  ,NIE
387,BRZOZOWA 01  ,NIE
388,BRZOZOWA 02  ,NIE
389,BUŁAWY 01  ,NIE
390,BUŁAWY 02  ,NIE
391,BUCHALTERYJNA 01  ,NIE
392,BUCHALTERYJNA 02  ,NIE
393,BUCHNIK 01  ,NIE
394,BUCHNIK 02  ,NIE
395,BUDEXPO 01  ,NIE
396,BUDEXPO 02  ,NIE
397,BUDOWLANA 01  ,NIE
398,BUDOWLANA 02  ,NIE
399,BUDOWLANA 03  ,NIE
400,BUDOWLANA 04  ,NIE
401,BUDZYŃSKIEJ-TYLICKIEJ 01  ,NIE
402,BUDZYŃSKIEJ-TYLICKIEJ 02  ,NIE
